task_id,hash,native_id,name,status,exit,submit,duration,realtime,%cpu,peak_rss,peak_vmem,rchar,wchar
1,39/939831,24041,READ_QC (HG002_HiFi),CACHED,0,2026-09-06 06:35:53.327,9.9s,9.8s,155.2%,24.7 MB,1.2 GB,491.9 MB,435 B
2,ac/87b256,24021,MINIMAP2_ALIGN (HG002_chr20),CACHED,0,2026-09-06 06:35:53.293,15m 23s,15m 23s,397.7%,6 GB,9 GB,2.6 GB,2 GB
3,1c/411a2a,45171,CUTESV (HG002_chr20),CACHED,0,2026-09-06 07:29:14.056,4.2s,4.1s,276.9%,438.1 MB,1.9 GB,594 MB,23.2 MB
4,f9/8adcb7,45189,SNIFFLES2 (HG002_chr20),CACHED,0,2026-09-06 07:29:14.088,12.5s,12.5s,108.6%,360.1 MB,1.8 GB,547.5 MB,829.5 KB
5,bf/1ac33e,37573,BAM_QC (HG002_chr20),CACHED,0,2026-09-06 06:51:16.288,30.6s,30.6s,122.9%,122.4 MB,344.4 MB,1.4 GB,10.5 MB
7,1f/d60619,53882,FILTER_SNIFFLES2 (sniffles2),CACHED,0,2026-09-06 07:48:28.890,181ms,83ms,77.4%,3.2 MB,4.6 MB,762.9 KB,137.6 KB
6,38/d6c14e,53895,FILTER_CUTESV (cutesv),CACHED,0,2026-09-06 07:48:28.917,173ms,73ms,80.8%,3.2 MB,4.6 MB,745 KB,127.6 KB
8,f3/588f85,60006,SV_ANNOTATION (sniffles2),CACHED,0,2026-09-06 08:02:30.648,552ms,461ms,353.7%,23.6 MB,87.5 MB,14.6 MB,35.4 KB
10,48/2db909,56093,TRUVARI_SNIFFLES2 (sniffles2),CACHED,0,2026-09-06 07:52:43.715,985ms,897ms,158.3%,16.8 MB,23.2 MB,17.8 MB,429.4 KB
9,a8/ecc492,56102,TRUVARI_CUTESV (cutesv),CACHED,0,2026-09-06 07:52:43.732,987ms,883ms,162.4%,17 MB,23.2 MB,17.8 MB,386.4 KB
11,c0/018f99,62126,BENCHMARK_SUMMARY (benchmark_summary),COMPLETED,0,2026-09-06 08:09:45.180,154ms,44ms,102.9%,3.2 MB,4.6 MB,565.7 KB,1.2 KB
12,67/22393f,62250,SV_SUMMARY (final_sv_summary),COMPLETED,0,2026-09-06 08:09:45.366,682ms,619ms,260.3%,15.2 MB,23 MB,13.3 MB,288.2 KB
